linea,estacion,concurrencia,final,lon,lat
L9S,FIRA,441295,0,2.130479,41.352017
L9S,EUROPA - FIRA,1093738,0,2.125951,41.357589
L9S,CAN TRIES - GORNAL,474074,0,2.11802,41.360923
L9S,TORRASSA,383324,0,2.115783,41.368251
L9S,COLLBLANC,377506,0,2.119222,41.375772
L9S,ZONA UNIVERSITÀRIA,410831,1,2.111205,41.384143
L10N,SAGRERA,281351,1,2.186749,41.420522
L10N,ONZE DE SETEMBRE,506260,0,2.19359,41.429587
L10N,BON PASTOR,904770,0,2.20532,41.436231
L10N,LLEFIÀ,839456,0,2.216931,41.441388
L10N,LA SALUT,1218113,1,2.224762,41.442845
L10S,ZAL - RIU VELL,179182,1,2.133122,41.323735
L10S,ECOPARC,97866,0,2.137098,41.330188
L10S,P. COMERCIAL - LA FACTORIA,60136,0,2.140684,41.336012
L10S,ZONA FRANCA,96357,0,2.144991,41.343005
L10S,FOC,438934,0,2.141831,41.35619
L10S,FONERIA,457028,0,2.138256,41.361128
L10S,CIUTAT DE LA JUSTÍCIA,351060,0,2.132342,41.363166
L10S,PROVENÇANA,409516,0,2.124127,41.361383
L10S,CAN TRIES - GORNAL,474074,0,2.11802,41.360923
L10S,TORRASSA,383324,1,2.115783,41.368251
L5,CORNELLÀ CENTRE,1885600,1,2.070455,41.357319
L5,GAVARRA,854978,0,2.079296,41.358022
L5,ST. ILDEFONS,1794650,0,2.08442,41.363409
L5,CAN BOIXERES,720939,0,2.091533,41.366599
L5,CAN VIDALET,2100572,0,2.099472,41.371307
L5,PUBILLA CASAS,2778387,0,2.107236,41.373866
L5,ERNEST LLUCH,1438919,0,2.112054,41.375926
L5,COLLBLANC,3749397,0,2.119222,41.375772
L5,BADAL,2434301,0,2.127429,41.375609
L5,PL. DE SANTS,1895215,0,2.138181,41.375381
L5,SANTS ESTACIÓ,3930418,0,2.141018,41.381626
L5,ENTENÇA,2202493,0,2.145645,41.384495
L5,H. CLÍNIC,3838270,0,2.151107,41.388636
L5,DIAGONAL,5970465,0,2.158856,41.394463
L5,VERDAGUER,2509019,0,2.168086,41.400393
L5,SGDA. FAMÍLIA,3834546,0,2.175132,41.404013
L5,H. DE ST. PAU,2467331,0,2.174015,41.41599
L5,CAMP DE L´ARPA,1627698,0,2.181523,41.415088
L5,SAGRERA,3420685,0,2.186608,41.421324
L5,CONGRÉS,975228,0,2.181212,41.423468
L5,MARAGALL,1413855,0,2.176511,41.425073
L5,VIRREI AMAT,2246445,0,2.174939,41.429731
L5,VILAPICINA,1571336,0,2.167645,41.430493
L5,HORTA,1762689,0,2.16,41.429721
L5,EL CARMEL,1821968,0,2.155125,41.424478
L5,EL COLL | LA TEIXONERA,1022259,0,2.148374,41.422025
L5,VALL D´HEBRON,751654,1,2.142382,41.425021
L11,TRINITAT NOVA,54381,1,2.184122,41.449528
L11,CASA DE L'AIGUA,27519,0,2.184865,41.451306
L11,TORRE BARÓ|VALLBONA,165729,0,2.179909,41.459224
L11,CIUTAT MERIDIANA,309620,0,2.174675,41.460836
L11,CAN CUIÀS,159627,1,2.173084,41.462441
L7,CATALUNYA,500478,1,2.17,41.386944
L7,PROVENÇA,278761,0,2.15745,41.39328
L7,GRÀCIA,130550,0,2.15209,41.39972
L7,PLAÇA MOLINA,6760,0,2.1475,41.401389
L7,PÀDUA,6575,0,2.14305,41.40333
L7,EL PUTXET,16737,0,2.139,41.405819
L7,AVINGUDA TIBIDABO,12038,1,2.137091,41.410024
L8,PLAÇA ESPANYA,454431,1,2.14851,41.3746
L8,MAGÒRIA-LA CAMPANA,194164,0,2.13961,41.36818
L8,ILDEFONS CERDÀ,87764,0,2.13016,41.36118
L8,EUROPA FIRA,41012,0,2.1246,41.35724
L8,GORNAL,25830,0,2.11704,41.35521
L8,SANT JOSEP,32540,0,2.11032,41.36102
L8,ALMEDA,35317,0,2.08466,41.35315
L8,CORNELLÀ RIERA,17490,0,2.07075,41.35182
L8,MOLÍ NOU-CIUTAT COOPERATIVA,1068,1,2.035,41.35832
L13,SAGRERA,0,1,2.187001,41.422397
L13,CORTE INGLÉS - CAN DRAGÓ,0,0,2.17921,41.43377
L13,PROSPERITAT,0,0,2.18431,41.445076
L13,TRINITAT NOVA,0,0,2.184122,41.449528
L13,VALLBONA,0,0,2.18487,41.4696711
L13,MONTCADA I REIXAC,0,0,2.18816,41.484119
L13, MONTCADA I REIXAC - MAS RAMPINYO,0,0,2.177623,41.493281
L13,RIPOLLET,0,0,2.1653,41.496498
L13,CERDANYOLA DEL VALLÈS,0,0,2.147826,41.49247
L13,CERDANYOLA-UAB,1,0,2.10403,41.50332
L6,CATALUNYA,4687887,0,2.169021,41.387517
L6,PROVENÇA,4058475,0,2.15972,41.39472
L6,GRÀCIA,1742265,0,2.152167,41.399556
L6,SANT GERVASI,455352,0,2.14722,41.40111
L6,MUNTANER,1238265,0,2.142222,41.399444
L6,LA BONANOVA,528761,0,2.1378,41.3979
L6,LES TRES TORRES,654645,0,2.13056,41.3975
L6,SARRIÀ,2266318,0,2.12528,41.3986
L6,REINA ELISENDA,245452,1,2.118234,41.392787
