LONGITUD,LATITUD,EQUIPAMENT
2.179909,41.459224,METRO (L11) - TORRE BARÓ | VALLBONA-
2.102785,41.367722,METRO (L1) - CAN SERRA-
2.193862,41.448984,METRO (L1) - TRINITAT VELLA-
2.163939,41.384796,METRO (L2) - UNIVERSITAT-
2.09349,41.322279,METRO (L9S) - CÈNTRIC-
2.187083,41.416215,METRO (L1) - NAVAS-
2.142591,41.425311,METRO (L3) - VALL D'HEBRON-
2.160073,41.395916,METRO (L3) - DIAGONAL-
2.182726,41.407264,METRO (L2) - ENCANTS-
2.216108,41.415127,METRO (L4) - BESÓS MAR-
2.11802,41.360923,METRO (L9SL10S) - CAN TRIES | GORNAL-
2.210052,41.444014,METRO (L9N) - CAN PEIXAUET-
2.127429,41.375609,METRO (L5) - BADAL-
2.140424,41.379984,METRO (L5) - SANTS ESTACIÓ-
2.107269,41.344706,METRO (L1) - HOSPITAL DE BELLVITGE-
2.183687,41.429661,METRO (L1) - FABRA I PUIG-
2.187029,41.410191,METRO (L1) - CLOT-
2.175132,41.404013,METRO (L2) - SAGRADA FAMÀ­LIA-
2.183225,41.449928,METRO (L11) - TRINITAT NOVA-
2.170118,41.38635,METRO (L3) - CATALUNYA-
2.167872,41.390085,METRO (L4) - PASSEIG DE GRÀCIA-
2.130897,41.384148,METRO (L3) - LES CORTS-
2.190697,41.443253,METRO (L1) - TORRAS I BAGES-
2.191213,41.436628,METRO (L1) - SANT ANDREU-
2.173471,41.387989,METRO (L4) - URQUINAONA-
2.168269,41.389444,METRO (L2) - PASSEIG DE GRÀCIA-
2.118564,41.386008,METRO (L3) - PALAU REIAL-
2.156904,41.438024,METRO (L3) - VALLDAURA-
2.154588,41.37926,METRO (L1) - ROCAFORT-
2.132342,41.363166,METRO (L10S) - CIUTAT DE LA JUSTÀ­CIA-
2.099776,41.364118,METRO (L1) - RAMBLA JUST OLIVERAS-
2.174593,41.389664,METRO (L1) - URQUINAONA-
2.216718,41.411808,METRO (L4) - EL MARESME | FÓRUM-
2.163251,41.406455,METRO (L4) - JOANIC-
2.186861,41.410386,METRO (L2) - CLOT-
2.124127,41.361383,METRO (L10S) - PROVENÀÇANA-
2.151582,41.375046,METRO (L3) - ESPANYA-
2.166414,41.441782,METRO (L3) - CANYELLES-
2.091533,41.366599,METRO (L5) - CAN BOIXERES-
2.237984,41.443933,METRO (L2) - PEP VENTURA-
2.133563,41.373031,METRO (L1) - MERCAT NOU-
2.197738,41.399453,METRO (L4) - LLACUNA-
2.181191,41.392365,METRO (L1) - ARC DE TRIOMF-
2.07118,41.288324,METRO (L9S) - AEROPORT T1-
2.087956,41.316657,METRO (L9S) - PARC NOU-
2.130479,41.352017,METRO (L9S) - FIRA-
2.205454,41.459442,METRO (L9N) - SINGUERLÀ­N-
2.215834,41.446878,METRO (L9N) - SANTA ROSA-
2.21851,41.451904,METRO (L9N) - FONDO-
2.140684,41.336012,METRO (L10S) - PORT COMERCIAL | LA FACTORIA-
2.173644,41.403863,METRO (L5) - SAGRADA FAMÀ­LIA-
2.174939,41.429731,METRO (L5) - VIRREI AMAT-
2.111648,41.38377,METRO (L9S) - ZONA UNIVERSITÀRIA-
