register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400597638,"Punt d'Ancoratge de Bicicletes * Pg Torras i Bages, 85",339101,Pg Torras i Bages,85,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,432396.7989,4588038.078,41.44107176,2.19075623
?99400597642,"Punt d'Ancoratge de Bicicletes * C Açores, 10",29807,C Açores,10,61,la Sagrera,9,Sant Andreu,8027,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,432291.4642,4586277.334,41.42520446,2.189692692
?99400597651,"Punt d'Ancoratge de Bicicletes * C Bilbao, 212",42306,C Bilbao,212,65,el Clot,10,Sant Martí,8018,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,432508.5735,4584733.944,41.41132191,2.192462931
?99400597654,"Punt d'Ancoratge de Bicicletes * Av Doctor Marañón, 42",102306,Av Doctor Marañón,42,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,425800.0863,4581750.367,41.3838589,2.112570115
?99400597656,"Punt d'Ancoratge de Bicicletes * Av Xile, 31",96407,Av Xile,31,20,la Maternitat i Sant Ramon,4,Les Corts,8028,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,425983.7046,4581418.804,41.38088958,2.114806435
?99400598341,"Punt d'Ancoratge de Bicicletes * C Mestre Nicolau, 12",188607,C Mestre Nicolau,12,26,Sant Gervasi - Galvany,5,Sarrià-Sant Gervasi,8021,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,428353.3002,4582844.762,41.39394713,2.142973739
?99400598347,"Punt d'Ancoratge de Bicicletes * C Joncar, 41",174908,C Joncar,41,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,433544.9136,4583659.705,41.40173288,2.204979575
?99400598349,"Punt d'Ancoratge de Bicicletes * C Or, 38",236700,C Or,38,31,la Vila de Gràcia,6,Gràcia,8012,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,429565.6812,4584032.163,41.40474871,2.157336389
?99400598354,"Punt d'Ancoratge de Bicicletes * C Martí, 24",201104,C Martí,24,31,la Vila de Gràcia,6,Gràcia,8024,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,429395.7088,4584265.16,41.40683233,2.155275901
?99400598355,"Punt d'Ancoratge de Bicicletes * Pg Gràcia, 61",148307,Pg Gràcia,61,7,la Dreta de l'Eixample,2,Eixample,8008,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430066.6366,4582743.62,41.393187,2.16347795
?99400598356,"Punt d'Ancoratge de Bicicletes * C Foc, 38",135203,C Foc,38,12,la Marina del Prat Vermell,3,Sants-Montjuïc,8038,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,427847.1801,4578464.532,41.35445078,2.13744162
?99400597413,"Punt d'Ancoratge de Bicicletes * C Marina, 307",197302,C Marina,307,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430720.8619,4584261.71,41.40691654,2.17112909
?99400597418,"Punt d'Ancoratge de Bicicletes * C Còrsega, 545",90502,C Còrsega,545,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430790.7442,4584188.794,41.40626584,2.171973432
?99400597419,"Punt d'Ancoratge de Bicicletes * C Marina, 311",197302,C Marina,311,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430698.2801,4584285.198,41.40712615,2.170856254
?99400597421,"Punt d'Ancoratge de Bicicletes * C Marina, 325",197302,C Marina,325,6,la Sagrada Família,2,Eixample,8025,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,430627.2308,4584355.164,41.40775018,2.169998267
?99400597424,"Punt d'Ancoratge de Bicicletes * C València, 528",350308,C València,528,6,la Sagrada Família,2,Eixample,8013,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,431559.4628,4584136.208,41.40585803,2.181175499
?99400597954,"Punt d'Ancoratge de Bicicletes * Pg Calvell, 1",55501,Pg Calvell,1,68,el Poblenou,10,Sant Martí,8005,BARCELONA,TRUE,63736069,Punts d'ancoratge de bicicletes,Planol BCN >> Transports i serveis relacionats >> Bicis >> Punts d'ancoratge de bicicletes,651,6.5103E+13,433549.3967,4583088.703,41.39659037,2.205095874
