Any,Id_aforament,Mes,Codi_tipus_dia,Desc_tipus_dia,Valor_IMD
2024,10005,8,2,laborables,4037
2024,10005,8,3,divendres,4021
2024,10005,8,4,dissabte,2901
2024,10005,8,5,diumenge,2364
2024,10005,9,1,dilluns,4799
2024,10005,9,2,laborables,5075
2024,10005,9,3,divendres,5377
2024,10005,9,4,dissabte,3701
2024,10005,9,5,diumenge,2800
2024,10005,10,1,dilluns,5139
2024,10005,10,2,laborables,5232
2024,10005,10,3,divendres,5534
2024,10005,10,4,dissabte,4029
2024,10005,10,5,diumenge,3099
2024,10005,11,1,dilluns,4788
2024,10005,11,2,laborables,5148
2024,10005,11,3,divendres,5597
2024,10005,11,4,dissabte,4055
2024,10005,11,5,diumenge,2974
2024,10005,12,1,dilluns,4844
2024,10005,12,2,laborables,5152
2024,10005,12,3,divendres,4982
2024,10005,12,4,dissabte,3706
2024,10005,12,5,diumenge,2979
2024,10007,1,1,dilluns,1804
2024,10007,1,2,laborables,1872
2024,10007,1,3,divendres,2043
2024,10007,1,4,dissabte,1726
2024,10007,1,5,diumenge,1364
2024,10007,2,1,dilluns,1806
2024,10007,2,2,laborables,1926
2024,10007,2,3,divendres,2053
2024,10007,2,4,dissabte,1756
2024,10007,2,5,diumenge,1322
2024,10007,3,1,dilluns,Mesura no disponible
2024,10007,3,2,laborables,Mesura no disponible
2024,10007,3,3,divendres,Mesura no disponible
2024,10007,3,4,dissabte,Mesura no disponible
2024,10007,3,5,diumenge,Mesura no disponible
2024,10007,4,1,dilluns,Mesura no disponible
2024,10007,4,2,laborables,Mesura no disponible
2024,10007,4,3,divendres,Mesura no disponible
2024,10007,4,4,dissabte,Mesura no disponible
2024,10007,4,5,diumenge,Mesura no disponible
2024,10007,5,1,dilluns,Mesura no disponible
2024,10007,5,2,laborables,Mesura no disponible
2024,10007,5,3,divendres,Mesura no disponible
2024,10007,5,4,dissabte,Mesura no disponible
2024,10007,5,5,diumenge,Mesura no disponible
2024,10007,6,1,dilluns,Mesura no disponible
2024,10007,6,2,laborables,Mesura no disponible
2024,10007,6,3,divendres,Mesura no disponible
2024,10007,6,4,dissabte,Mesura no disponible
2024,10007,6,5,diumenge,Mesura no disponible
2024,10007,7,1,dilluns,Mesura no disponible
2024,10007,7,2,laborables,Mesura no disponible
2024,10007,7,3,divendres,Mesura no disponible
2024,10007,7,4,dissabte,Mesura no disponible
2024,10007,7,5,diumenge,Mesura no disponible
2024,10007,8,1,dilluns,Mesura no disponible
2024,10007,8,2,laborables,Mesura no disponible
2024,10007,8,3,divendres,Mesura no disponible
2024,10007,8,4,dissabte,Mesura no disponible
2024,10007,8,5,diumenge,Mesura no disponible
2024,10007,9,1,dilluns,Mesura no disponible
2024,10007,9,2,laborables,Mesura no disponible
2024,10007,9,3,divendres,Mesura no disponible
2024,10007,9,4,dissabte,Mesura no disponible
2024,10007,9,5,diumenge,Mesura no disponible
2024,10007,10,1,dilluns,Mesura no disponible
2024,10007,10,2,laborables,Mesura no disponible
2024,10007,10,3,divendres,Mesura no disponible
2024,10007,10,4,dissabte,Mesura no disponible
2024,10007,10,5,diumenge,Mesura no disponible
2024,10007,11,1,dilluns,Mesura no disponible
2024,10007,11,2,laborables,Mesura no disponible
2024,10007,11,3,divendres,Mesura no disponible
2024,10007,11,4,dissabte,Mesura no disponible
2024,10007,11,5,diumenge,Mesura no disponible
2024,10007,12,1,dilluns,Mesura no disponible
2024,10007,12,2,laborables,Mesura no disponible
2024,10007,12,3,divendres,Mesura no disponible
2024,10007,12,4,dissabte,Mesura no disponible
2024,10007,12,5,diumenge,Mesura no disponible
2024,10008,1,1,dilluns,3982
2024,10008,1,2,laborables,3924
2024,10008,1,3,divendres,4109
2024,10008,1,4,dissabte,3242
2024,10008,1,5,diumenge,2515
2024,10008,2,1,dilluns,3732
2024,10008,2,2,laborables,3994
2024,10008,2,3,divendres,4405
2024,10008,2,4,dissabte,3218
2024,10008,2,5,diumenge,2672
2024,10008,3,1,dilluns,3645
2024,10008,3,2,laborables,3797
2024,10008,3,3,divendres,4245
2024,10008,3,4,dissabte,3040
2024,10008,3,5,diumenge,2512
2024,10008,4,1,dilluns,3919
2024,10008,4,2,laborables,3925
2024,10008,4,3,divendres,4058
2024,10008,4,4,dissabte,3085
2024,10008,4,5,diumenge,2539
2024,10008,5,1,dilluns,3886
2024,10008,5,2,laborables,3978
2024,10008,5,3,divendres,4072
2024,10008,5,4,dissabte,3194
2024,10008,5,5,diumenge,2677
2024,10008,6,1,dilluns,3807
2024,10008,6,2,laborables,4045
2024,10008,6,3,divendres,4089
2024,10008,6,4,dissabte,3128
2024,10008,6,5,diumenge,2748
2024,10008,7,1,dilluns,3754
2024,10008,7,2,laborables,3872
2024,10008,7,3,divendres,3950
2024,10008,7,4,dissabte,2932
2024,10008,7,5,diumenge,2636
2024,10008,8,1,dilluns,2552
2024,10008,8,2,laborables,2722
2024,10008,8,3,divendres,2795
2024,10008,8,4,dissabte,2217
2024,10008,8,5,diumenge,1920
2024,10008,9,1,dilluns,3388
2024,10008,9,2,laborables,3514
2024,10008,9,3,divendres,3627
2024,10008,9,4,dissabte,2817
2024,10008,9,5,diumenge,2324
2024,10008,10,1,dilluns,3556
2024,10008,10,2,laborables,3648
2024,10008,10,3,divendres,3797
2024,10008,10,4,dissabte,3022
2024,10008,10,5,diumenge,2542
2024,10008,11,1,dilluns,3376
2024,10008,11,2,laborables,3580
2024,10008,11,3,divendres,3828
2024,10008,11,4,dissabte,3090
2024,10008,11,5,diumenge,2225
2024,10008,12,1,dilluns,3570
2024,10008,12,2,laborables,3744
2024,10008,12,3,divendres,3562
2024,10008,12,4,dissabte,2840
2024,10008,12,5,diumenge,2369
2024,10009,1,1,dilluns,8002
2024,10009,1,2,laborables,8226
2024,10009,1,3,divendres,8450
2024,10009,1,4,dissabte,7084
2024,10009,1,5,diumenge,5249
2024,10009,2,1,dilluns,7966
2024,10009,2,2,laborables,8368
2024,10009,2,3,divendres,8873
2024,10009,2,4,dissabte,6979
2024,10009,2,5,diumenge,5298
2024,10009,3,1,dilluns,7781
2024,10009,3,2,laborables,8222
2024,10009,3,3,divendres,8812
2024,10009,3,4,dissabte,6834
