register_id,name,addresses_road_id,addresses_road_name,addresses_start_street_number,addresses_end_street_number,addresses_neighborhood_id,addresses_neighborhood_name,addresses_district_id,addresses_district_name,addresses_zip_code,addresses_town,addresses_main_address,secondary_filters_id,secondary_filters_name,secondary_filters_fullpath,secondary_filters_tree,secondary_filters_asia_id,geo_epgs_25831_x,geo_epgs_25831_y,geo_epgs_4326_lat,geo_epgs_4326_lon
?99400603144,"Parada de taxis * C Fernando Pessoa, 47",701334,C Fernando Pessoa,47,,60,Sant Andreu,9,Sant Andreu,8030,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,432576.9951,4588278.272,41.44325025,2.192886255
?99400603147,"Parada de taxis * Pg Manuel Girona, 29",193108,Pg Manuel Girona,29,,23,Sarrià,5,Sarrià-Sant Gervasi,8034,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,426745.6709,4582529.479,41.39096269,2.123783805
?99400603151,"Parada de taxis * C Mallorca, 220",191204,C Mallorca,220,,8,l'Antiga Esquerra de l'Eixample,2,Eixample,8008,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,429737.9048,4582552.597,41.39143787,2.159568325
?99400603153,"Parada de taxis * C Aragó, 278",18505,C Aragó,278,,7,la Dreta de l'Eixample,2,Eixample,8007,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,430223.1161,4582657.016,41.39242057,2.165359498
?99400603154,"Parada de taxis * C Aragó, 73",18505,C Aragó,73,,9,la Nova Esquerra de l'Eixample,2,Eixample,8015,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428952.8147,4581444.134,41.38138537,2.15030854
?99400603155,"Parada de taxis * Av Borbó, 5",45701,Av Borbó,5,,44,Vilapicina i la Torre Llobeta,8,Nou Barris,8031,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431147.6113,4586430.176,41.42648383,2.175987483
?99400603156,"Parada de taxis * C Aragó, 585",18505,C Aragó,585,,64,el Camp de l'Arpa del Clot,10,Sant Martí,8026,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431940.002,4584367.63,41.40797468,2.185701813
?99400603163,"Parada de taxis * C València, 543",350308,C València,543,,6,la Sagrada Família,2,Eixample,8013,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,431631.0631,4584252.186,41.4069087,2.182018941
?99400603167,"Parada de taxis * Av Madrid, 178",187207,Av Madrid,178,,18,Sants,3,Sants-Montjuïc,8028,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,427429.5045,4581375,41.38062675,2.132100718
?99400603170,"Parada de taxis * C Equador, 8",107004,C Equador,8,,18,Sants,3,Sants-Montjuïc,8029,BARCELONA,TRUE,63733072,Parades Taxi,Planol BCN >> Transports i serveis relacionats >> Transports adicionals >> Parades Taxi,651,6.5103E+13,428241.9245,4581820.785,41.38471463,2.141762928
